诈骗信息,文章发布时间
广州体育职业技术学院一学生被嫌疑人“购物交易”为由诈骗7350元。,2022-05-07 17:00:00
暨南大学一学生被嫌疑人“刷单兼职”为由诈骗6000元。,2022-05-07 17:00:00
广东工程职业技术学院一学生被嫌疑人“冒充关系人”为由诈骗5000元。,2022-05-07 17:00:00
华南农业大学一学生被嫌疑人“冒充客服”为由诈骗人民币3.5万元。,2022-04-27 15:32:44
 暨南大学一学生被嫌疑人“冒充关系人”为由诈骗人民币3万元。,2022-04-27 15:32:44
广东生态工程学院一学生被嫌疑人“冒充客服”为由诈骗人民币1.5万元。,2022-04-27 15:32:44
私立华联学院一学生被嫌疑人“违法服务”为由诈骗人民币7496元。,2022-04-27 15:32:44
广东工业大学一学生被嫌疑人“冒充客服”为由诈骗人民币4111.76元。,2022-04-27 15:32:44
广东工贸职业技术学校一学生被嫌疑人以“冒充客服”的方式诈骗5512元。,2022-04-15 16:55:47
华南师范大学一学生被嫌疑人以“冒充关系人”的方式诈骗5500元。,2022-04-15 16:55:47
华南农业大学一学生被嫌疑人以“冒充关系人”的方式诈骗1200元。,2022-04-15 16:55:47
华南师范大学一学生被嫌疑人以“虚假购物”的方式诈骗1100元。,2022-04-15 16:55:47
华南师范大学一学生被嫌疑人以“提供虚假租房服务”的方式诈骗600元。,2022-04-15 16:55:47
华南理工大学一学生被嫌疑人以“出售两张演唱会门票”的方式诈骗320元。,2022-04-15 16:55:47
广州现代信息工程职业技术学院一学生被嫌疑人以“代办贷款”的方式诈骗4万元。,2022-04-01 17:22:27
华南理工大学一学生被嫌疑人以“冒充客服”的方式诈骗1.3万。,2022-04-01 17:22:27
广东省外语艺术职业学院一学生被嫌疑人以“冒充客服”的方式诈骗1万元。,2022-04-01 17:22:27
广东金融学院一学生被嫌疑人以“冒充客服”的方式诈骗8500元。,2022-04-01 17:22:27
广东技术师范大学一学生被嫌疑人以“杀猪盘”的方式诈骗7000元。,2022-04-01 17:22:27
华南师范大学一学生被嫌疑人以“冒充客服”的方式诈骗3999元。,2022-04-01 17:22:27
暨南大学一学生被嫌疑人以“招聘求职”的方式诈骗1330元。,2022-04-01 17:22:27
暨南大学一学生被嫌疑人以“冒充客服”的方式诈骗6.5万元。,2022-03-25 18:03:09
广东金融学院一学生被嫌疑人以“投资理财”的方式诈骗3.1万元。,2022-03-25 18:03:09
广东交通职业技术学院一学生某被嫌疑人以“中奖”的方式诈骗5580元。,2022-03-25 18:03:09
华南师范大学一学生被嫌疑人以“购物交易”的方式诈骗2300元。,2022-03-25 18:03:09
华南师范大学一学生被嫌疑人以“冒充客服”的方式诈骗2000元。,2022-03-25 18:03:09
广东省交通城建技师学院一学生被嫌疑人以“购物交易”的方式诈骗1638元。,2022-03-25 18:03:09
广东食品药品职业学院一学生被嫌疑人以“冒充客服”的方式诈骗1.4万元。,2022-03-18 17:04:21
广东省农工商职业技术学院一学生被嫌疑人以“冒充关系人”的方式诈骗3880元。,2022-03-18 17:04:21
广东省外语艺术职业学院一学生被嫌疑人以“冒充关系人”的方式诈骗3000元。,2022-03-18 17:04:21
星海音乐学院一学生被嫌疑人以“购物交易”的方式诈骗1176元。,2022-03-18 17:04:21
广州体育职业技术学院一学生被嫌疑人以“购物交易”的方式诈骗1.3万元。,2022-03-04 17:16:52
华南师范大学一学生被嫌疑人以“刷单兼职”的方式诈骗1.1万元。,2022-03-04 17:16:52
广东体育职业技术学院一学生被嫌疑人以“刷单兼职”的方式诈骗1万元。,2022-03-04 17:16:52
暨南大学一学生被嫌疑人以“购物交易”的方式诈骗4200元。,2022-03-04 17:16:52
广东生态工程职业学院一学生被嫌疑人以“购物交易”的方式诈骗809元。,2022-03-04 17:16:52
华南师范大学一学生被嫌疑人以“冒充客服”的手法诈骗18000元。,2022-02-24 17:12:04
华南农业大学一学生被嫌疑人以“购物交易”的手法诈骗1899.8元。,2022-02-24 17:12:04
华南农业大学一学生被嫌疑人以“代办贷款”的手法诈骗5万元。,2022-01-21 17:22:27
华南理工大学一学生被嫌疑人以“购物交易”的手法诈骗2.2万元。,2022-01-21 17:22:27
广东水利电力职业学院一学生被嫌疑人以“冒充关系人”的手法诈骗2200元。,2022-01-07 17:11:50
广东工业大学一学生被嫌疑人以“冒充客服”的手法诈骗1800元。,2022-01-07 17:11:50
广东水利电力职业学院一学生被嫌疑人以“冒充关系人”的手法诈骗1200元。,2022-01-07 17:11:50
广东岭南职业技术学院一学生被嫌疑人以“刷单兼职”的手法诈骗1000元。,2022-01-07 17:11:50
